"Disease","Report Year","Case Count","Case rate per 100,000"
"Arboviral diseases",2006,21,0.5
"Measles",2006,18,0.4
"Toxic shellfish poisoning",2006,1,0
"Malaria",2006,30,0.7
"Rabies and other lyssaviruses",2006,0,0
"Diphtheria",2006,0,0
"Leptospirosis",2006,87,2.2
"Mumps",2006,47,1.2
"Hepatitis A",2006,123,3.1
"Meningococcal disease",2006,160,4
"Hepatitis NOS",2006,0,0
"Mpox",2006,0,0
"Paratyphoid fever",2006,23,0.6
"VTEC/STEC infection",2006,87,2.2
"Legionellosis",2006,52,1.3
"Rickettsial disease",2006,13,0.3
"Haemophilus influenzae type b",2006,9,0.2
"Leprosy",2006,4,0.1
"Pertussis",2006,1120,27.9
"Brucellosis",2006,0,0
"Hepatitis C",2006,35,0.9
"Tuberculosis disease",2006,350,8.7
"Yersiniosis",2006,453,11.3
"Taeniasis",2006,0,0
"Hydatid disease",2006,0,0
"Listeriosis",2006,19,0.5
"Rubella",2006,7,0.2
"Hepatitis B",2006,61,1.5
"Cysticercosis",2006,0,0
"Tetanus",2006,1,0
"Typhoid fever",2006,42,1
"Salmonellosis",2006,1335,33.2
"Invasive pneumococcal disease",2006,0,0
"Rheumatic fever",2006,108,2.7
"Poliomyelitis",2006,0,0
"Trichinosis",2006,0,0
"Meningoencephalitis - primary amoebic",2006,0,0
"Giardiasis",2006,1214,30.2
"Campylobacteriosis",2006,15873,394.8
"Acute gastroenteritis",2006,925,23
"Q fever",2006,0,0
"Shigellosis",2006,102,2.5
"Cryptosporidiosis",2006,737,18.3
"Cholera",2006,0,0
"Leptospirosis",2007,66,1.6
"Measles",2007,24,0.6
"Toxic shellfish poisoning",2007,3,0.1
"Listeriosis",2007,26,0.6
"Hepatitis A",2007,42,1
"Rabies and other lyssaviruses",2007,0,0
"Invasive pneumococcal disease",2007,0,0
"Mumps",2007,73,1.8
"Mpox",2007,0,0
"VTEC/STEC infection",2007,100,2.5
"Legionellosis",2007,64,1.6
"Hepatitis NOS",2007,1,0
"Malaria",2007,25,0.6
"Leprosy",2007,8,0.2
"Meningococcal disease",2007,116,2.9
"Rickettsial disease",2007,2,0
"Hepatitis C",2007,29,0.7
"Tuberculosis disease",2007,283,7
"Rubella",2007,10,0.2
"Diphtheria",2007,0,0
"Taeniasis",2007,1,0
"Hydatid disease",2007,6,0.1
"Typhoid fever",2007,48,1.2
"Hepatitis B",2007,72,1.8
"Cysticercosis",2007,2,0
"Haemophilus influenzae type b",2007,15,0.4
"Poliomyelitis",2007,0,0
"Yersiniosis",2007,502,12.4
"Pertussis",2007,332,8.2
"Salmonellosis",2007,1275,31.4
"Rheumatic fever",2007,142,3.5
"Acute gastroenteritis",2007,614,15.1
"Meningoencephalitis - primary amoebic",2007,0,0
"Arboviral diseases",2007,115,2.8
"Tetanus",2007,1,0
"Brucellosis",2007,4,0.1
"Q fever",2007,0,0
"Cholera",2007,1,0
"Campylobacteriosis",2007,12778,314.4
"Shigellosis",2007,129,3.2
"Trichinosis",2007,0,0
"Giardiasis",2007,1402,34.5
"Cryptosporidiosis",2007,924,22.7
"Paratyphoid fever",2007,23,0.6
"Leprosy",2008,5,0.1
"Typhoid fever",2008,29,0.7
"Diphtheria",2008,0,0
"Hydatid disease",2008,7,0.2
"Measles",2008,12,0.3
"Meningoencephalitis - primary amoebic",2008,0,0
"Yersiniosis",2008,508,12.4
"Arboviral diseases",2008,115,2.8
"Shigellosis",2008,113,2.8
"Acute gastroenteritis",2008,675,16.5
"Paratyphoid fever",2008,25,0.6
"Malaria",2008,40,1
"Rickettsial disease",2008,9,0.2
"Brucellosis",2008,3,0.1
"Hepatitis B",2008,37,0.9
"Mumps",2008,76,1.9
"Salmonellosis",2008,1337,32.6
"Meningococcal disease",2008,122,3
"Leptospirosis",2008,118,2.9
"Campylobacteriosis",2008,6692,163.1
"Listeriosis",2008,27,0.7
"Cysticercosis",2008,0,0
"Legionellosis",2008,73,1.8
"Poliomyelitis",2008,0,0
"Cholera",2008,0,0
"Haemophilus influenzae type b",2008,9,0.2
"Rabies and other lyssaviruses",2008,0,0
"Trichinosis",2008,0,0
"Giardiasis",2008,1660,40.5
"Hepatitis C",2008,22,0.5
"Cryptosporidiosis",2008,765,18.6
"VTEC/STEC infection",2008,122,3
"Hepatitis NOS",2008,2,0
"Q fever",2008,0,0
"Rubella",2008,9,0.2
"Hepatitis A",2008,89,2.2
"Pertussis",2008,417,10.2
"Toxic shellfish poisoning",2008,1,0
"Tetanus",2008,0,0
"Rheumatic fever",2008,156,3.8
"Tuberculosis disease",2008,293,7.1
"Invasive pneumococcal disease",2008,124,3
"Mpox",2008,0,0
"Taeniasis",2008,5,0.1
"Measles",2009,248,6
"Legionellosis",2009,74,1.8
"Mumps",2009,63,1.5
"Diphtheria",2009,1,0
"Meningococcal disease",2009,132,3.2
"Rickettsial disease",2009,5,0.1
"Arboviral diseases",2009,145,3.5
"Mpox",2009,0,0
"Rubella",2009,4,0.1
"Typhoid fever",2009,34,0.8
"Pertussis",2009,1398,33.7
"Malaria",2009,50,1.2
"Haemophilus influenzae type b",2009,10,0.2
